Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Forest area (% of land area),AG.LND.FRST.ZS,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333,2.3333333333
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485,2.0678246485
Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,48.9099221946,48.8098179193,48.709713644,48.6096093687,48.5095050934,48.4094008182,48.3092965429,48.2091922676,48.1090879923,48.008983717,47.9088794417,47.8087751664,47.7086708912,47.6085666159,47.5084623406,47.4083580653,47.30825379,47.2081495147,47.1080452394,47.0079409641,46.9078366889,46.8077324136,46.7076281383,46.607523863,46.5074195877,46.4073153124
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,28.7883211679,28.7171532847,28.6459854015,28.5748175182,28.503649635,28.4324817518,28.3613138686,28.2901459854,28.2189781022,28.147810219,28.0766423358,28.1722627737,28.2678832117,28.3635036496,28.4591240876,28.5547445255,28.5102189781,28.4656934307,28.4211678832,28.3766423358,28.3321167883,28.297080292,28.2620437956,28.2270072993,28.1919708029,28.1569343066
Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915,34.0425531915
Arab World,ARB,Forest area (% of land area),AG.LND.FRST.ZS,3.684247883,3.667273415,3.6502935883,3.6333191451,3.616344702,3.5993702589,3.5823958157,3.5654213726,3.5484469295,3.5314732203,3.5144980432,3.50255369,3.4906078687,3.4787087421,3.4667653076,3.4548182519,3.4472185663,3.4396305143,3.4320435358,3.4250915709,3.4175084608,2.8742036066,2.8563223002,2.8384416269,2.8205607466,2.8026800746
United Arab Emirates,ARE,Forest area (% of land area),AG.LND.FRST.ZS,2.9306220096,3.0083732057,3.0861244019,3.1638755981,3.2416267943,3.3193779904,3.3971291866,3.4748803828,3.5526315789,3.6303827751,3.7081339713,3.7129186603,3.7177033493,3.7224880383,3.7272727273,3.7320574163,3.7447368421,3.7574162679,3.7700956938,3.7827751196,3.7954545455,3.8081339713,3.8208133971,3.833492823,3.8461722488,3.8588516746
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,12.7135335022,12.6063602381,12.499186974,12.39201371,12.2848404459,12.1776671819,12.0704939178,11.9633206538,11.8561473897,11.7489741257,11.6418008616,11.5194632932,11.3971257249,11.2747881565,11.1524505881,11.0301130197,10.9139142541,10.7977154884,10.6815167228,10.5653179571,10.4491191914,10.3406670101,10.2322148289,10.1237626476,10.0153104663,9.906858285
Armenia,ARM,Forest area (% of land area),AG.LND.FRST.ZS,11.7667720407,11.7527221637,11.7527221637,11.7456972251,11.7386722866,11.7316473481,11.7246224096,11.717597471,11.7105725325,11.703547594,11.6965226554,11.6894977169,11.6824727784,11.6754478398,11.6684229013,11.6613979628,11.6543730242,11.6473480857,11.6403231472,11.6332982086,11.6262732701,11.6332982086,11.6403231472,11.6473480857,11.6543730242,11.6613979628
American Samoa,ASM,Forest area (% of land area),AG.LND.FRST.ZS,91.95,91.75,91.6,91.45,91.25,91.1,90.95,90.75,90.6,90.4,90.25,90.1,89.9,89.75,89.55,89.4,89.25,89.05,88.9,88.75,88.55,88.4,88.2,88.05,87.9,87.7
